"Ciliopathy","Abbreviation","OMIM Phenotype Number","Disease/Gene Reference","Human Gene ID","Human Gene Name","Gene MIM Number","Subcellular Localization","Localisation Reference","Synonym"
"Primary Ciliary Dyskinesia","CILD37","617577","25927852",25981,"DNAH1","603332","Cilia","24360805","DNAH1;DNAH1;ENSG00000114841; HL11; HDHC7; HL-11; CILD37; DNAHC1; HSRF-1; SPGF18; XLHSRF-1"
"Primary Ciliary Dyskinesia","CILD38","618063","29727692, 29727693",85016,"CFAP300","618058","Cilia","29727692","CFAP300;CFAP300;ENSG00000137691; FBB5; CILD38; DNAAF17; C11orf70"
"Primary Ciliary Dyskinesia","CILD39","618254","30388400",115399,"LRRC56","618227","Cilia, Axoneme *","30388400","LRRC56;LRRC56;ENSG00000161328; CILD39; DNAAF12"
"Primary Ciliary Dyskinesia","CILD40","618300","30471718",1770,"DNAH9","603330","Axoneme","17059358","DNAH9;DNAH9;ENSG00000007174; DYH9; HL20; DNEL1; HL-20; CILD40; Dnahc9; DNAH17L"
"Primary Ciliary Dyskinesia","CILD41","618449","30665704",246176,"GAS2L2","611398","Cilia","30665704","GAS2L2;GAS2L2;ENSG00000270765; GAR17; CILD41"
"Primary Ciliary Dyskinesia","CILD42","618695","25048963",345643,"MCIDAS","614086","Nuclear bodies","25613900","MCIDAS;MCIDAS;ENSG00000234602; MCI; IDAS; MCIN; CILD42"
"Primary Ciliary Dyskinesia","CILD43","618699","31630787",2302,"FOXJ1","602291","Cilia","10423398","FOXJ1;FOXJ1;ENSG00000129654; HFH4; HFH-4; CILD43; FKHL13"
"Primary Ciliary Dyskinesia","CILD44","618781","31959991",152110,"NEK10","618726","Axoneme","29581457","NEK10;NEK10;ENSG00000163491; CILD44"
"Primary Ciliary Dyskinesia","CILD45","618801","31978331",54970,"TTC12","610732","Nucleoplasm","25613900","TTC12;TTC12;ENSG00000149292; TPARM; CILD45"
"Primary Ciliary Dyskinesia","CILD46","619436","28543983",27148,"STK36","607652","Cilia","23907739","STK36;STK36;ENSG00000163482; FU; CILD46"
"Primary Ciliary Dyskinesia","CILD47","619466","34077761",7161,"TP73","601990","Nucleoplasm,Golgi apparatus","25613900","TP73;TP73;ENSG00000078900; P73; CILD47"
"Primary Ciliary Dyskinesia","CILD","No MIM Number","32185794, 31479451",8382,"NME5","603575","Cilia","26073779","NME5;NME5;ENSG00000112981; NM23H5; RSPH23; NM23-H5"
"Primary Ciliary Dyskinesia","CILD","No MIM Number","33916973",29922,"NME7","613465","Basal Body","21289087","NME7;NME7;ENSG00000143156; NDK7; NDK 7; CFAP67; MN23H7; nm23-H7"
"Primary Ciliary Dyskinesia","CILD","No MIM Number","33628615",56912,"IFT46","No MIM Number","Basal Body","25722189","IFT46;IFT46;ENSG00000118096; CFAP32; C11orf2; C11orf60"
"Primary Ciliary Dyskinesia","CILD","No MIM Number","32764743",149465,"CFAP57","614259","Axoneme","32764743","CFAP57;CFAP57;ENSG00000243710; VWS2; WDR65"
"Primary Ciliary Dyskinesia","CILD","No MIM Number","(Lee, Lance et al., 2008)",200373,"CFAP221","618704","Axoneme","31636325","CFAP221;CFAP221;ENSG00000163075; PCDP1; FAP221"
"Primary Ciliary Dyskinesia","CILD","No MIM Number","21715716, 31545650",79925,"SPEF2","610172","Cilia *","21715716","SPEF2;SPEF2;ENSG00000152582; KPL2; CT122; SPGF43"
"Primary Ciliary Dyskinesia","CILD","No MIM Number","26224312",144535,"CFAP54","No MIM Number","Microtubules,Cytosol","25613900","CFAP54;CFAP54;ENSG00000188596; C12orf55; C12orf63"
"Primary Ciliary Dyskinesia","CILD","No MIM Number","32376681",154313,"CFAP206","No MIM Number","Basal Body, Cilia","32376681","CFAP206;CFAP206;ENSG00000272514; C6orf165; dJ382I10.1"
"Primary Ciliary Dyskinesia","CILD","No MIM Number","32367404",80709,"AKNA","605729","Nucleoplasm,Centrosome","25613900",NA
"Primary Ciliary Dyskinesia","CILD","No MIM Number","32367404",2802,"GOLGA3","602581","Nucleoplasm,Golgi apparatus","25613900","GOLGA3;GOLGA3;ENSG00000090615; MEA-2; GCP170"
"Primary Ciliary Dyskinesia","CILD","No MIM Number","32124190",9576,"SPAG6","605730","Axoneme","8636214, 10493827","SPAG6;SPAG6;ENSG00000077327; pf16; CT141; FAP194; CFAP194; Repro-SA-1"
"Primary Ciliary Dyskinesia","CILD","No MIM Number","32124190",83861,"RSPH3","615876","Cilia","26073779","RSPH3;RSPH3;ENSG00000130363; RSP3; RSHL2; CILD32; dJ111C20.1"
"Primary Ciliary Dyskinesia","CILD","No MIM Number","(Shamseldin, Hanan E et al., 2020)",22897,"CEP164","614848","Cilia","31492868","CEP164;CEP164;ENSG00000110274; NPHP15"
"Primary Ciliary Dyskinesia","CILD","No MIM Number","31835165",8237,"USP11","300050","Cilia","31835165","USP11;USP11;ENSG00000102226; UHX1"
"Primary Ciliary Dyskinesia","CILD","No MIM Number","31835165",1394,"CRHR1","122561","Not reported",NA,"CRHR1;CRHR1;ENSG00000120088; CRF1; CRHR; CRF-R; CRFR1; CRF-R1; CRFR-1; CRH-R1; CRHR1L; CRF-R-1; CRH-R-1"
"Primary Ciliary Dyskinesia","CILD","No MIM Number","31835165",3885,"KRT34","602763","Nucleoplasm,Vesicles","25613900","KRT34;KRT34;ENSG00000131737; HA4; K34; Ha-4; hHa4; KRTHA4"
"Primary Ciliary Dyskinesia","CILD","No MIM Number","11877439",56171,"DNAH7","610061","Cytosol","25613900",NA
"Primary Ciliary Dyskinesia","CILD","No MIM Number","31366608",8481,"OFD1","300170","Basal Body, Transition Zone","15466260, 26068394","OFD1;OFD1;ENSG00000046651; RP23; 71-7A; SGBS2; CXorf5; JBTS10"
"Primary Ciliary Dyskinesia","CILD","No MIM Number","33577779",127602,"DNAH14","603341","Axoneme","33577779","DNAH14;DNAH14;ENSG00000185842; HL18; HL-18; C1orf67; Dnahc14"
"Primary Ciliary Dyskinesia","CILD","No MIM Number","34445527",79582,"SPAG16","612173","Cilia","30911868","SPAG16;SPAG16;ENSG00000144451; PF20; WDR29"
"Primary Ciliary Dyskinesia","CILD","No MIM Number","35637434",83657,"DYNLRB2","607168","Not reported",NA,"DYNLRB2;DYNLRB2;ENSG00000168589; DNCL2B; DNLC2B; ROBLD2"
"Primary Ciliary Dyskinesia","CILD","No MIM Number","35637434",146845,"WDR16","609804","Basal Body","32859975","CFAP52;WDR16;ENSG00000166596; HTX10; WDR16; WDRPUH"
"Primary Ciliary Dyskinesia","CILD","No MIM Number","33389130",54014,"BRWD1","617824","Axoneme *","33389130","BRWD1;BRWD1;ENSG00000185658; N143; WDR9; WRD9; DCAF19; C21orf107"
"Primary Ciliary Dyskinesia","CILD","No MIM Number","32555313",85452,"CFAP74","No MIM Number","Cilia","30158508","CFAP74;CFAP74;ENSG00000142609; C1orf222; KIAA1751"
"Renal-hepatic-pancreatic Dysplasia","RHPD1","208540","18371931, 20007846",27031,"NPHP3","608002","Cilia, Basal Body","20462968, 22328406","NPHP3;NPHP3;ENSG00000113971; MKS7; NPH3; RHPD; RHPD1; SLSN3; CFAP31"
"Renal-hepatic-pancreatic Dysplasia","RHPD2","615415","23418306",284086,"NEK8","609799","Cilia","16267153, 23274954","NEK8;NEK8;ENSG00000160602; JCK; NPHP9; RHPD2; NEK12A"
"Renal-hepatic-pancreatic Dysplasia","RHPD","No MIM Number","33129895",51726,"DNAJB11","611341","Endoplasmic reticulum","25613900","DNAJB11;DNAJB11;ENSG00000090520; DJ9; EDJ; Dj-9; ERj3; PKD6; ABBP2; ERdj3; ERj3p; ABBP-2; UNQ537; PRO1080"
"Retinal Dystrophy","RDMS","617547","26294103",755,"CFAP410","603191","Basal Body","26167768","CFAP410;CFAP410;ENSG00000160226; RDMS; SMDAX; LRRC76; YF5/A2; C21orf2"
"Retinal Dystrophy","RDMS","No MIM Number","33938610",51134,"CEP83","615847","Cilia","24882706","CEP83;CEP83;ENSG00000173588; CCDC41; NPHP18; NY-REN-58"
"Retinal Dystrophy","RDMS","No MIM Number","33599192",79809,"TTC21B","612014","Cilia","24876116","TTC21B;TTC21B;ENSG00000123607; ATD4; THM1; FAP60; FLA17; SRTD4; IFT139; JBTS11; NPHP12; IFT139B; Nbla10696"
"Retinitis Pigmentosa","RP1","180100","10391211",6101,"RP1","603937","Cilia, Axoneme","11773008, 15269252","RP1;RP1;ENSG00000104237; ORP1; DCDC4A"
"Retinitis Pigmentosa","RP2","312600","9697692",6102,"RP2","300757","Basal Body","20106869","RP2;RP2;ENSG00000102218; XRP2; NME10; TBCCD2; NM23-H10; DELXp11.3"
"Retinitis Pigmentosa","RP3","300029","10932196",6103,"RPGR","312610","Transition Zone, Axoneme, Basal Body","12766038, 16043481","RPGR;RPGR;ENSG00000156313; CRD; RP3; COD1; PCDX; RP15; XLRP3; orf15; CORDX1"
"Retinitis Pigmentosa","RP4","613731","1303237",6010,"RHO","180380","Ciliary Membrane","10891855","RHO;RHO;ENSG00000163914; RP4; OPN2; CSNBAD1"
"Retinitis Pigmentosa","RP7","608133","8202715",6094,"ROM1","180721","Cilia","18171083","ROM1;ROM1;ENSG00000149489; ROM; RP7; ROSP1; TSPAN23"
"Retinitis Pigmentosa","RP9","180104","15474994",6100,"RP9","607331","Nucleoplasm,Vesicles,Cytosol","25613900","RP9;RP9;ENSG00000164610; PAP1; PAP-1"
"Retinitis Pigmentosa","RP10","180105","11875050",3614,"IMPDH1","146690","Cytosol,Rods & Rings","25613900","IMPDH1;IMPDH1;ENSG00000106348; IMPD; RP10; IMPD1; LCA11; IMPDH-I; sWSS2608"
"Retinitis Pigmentosa","RP11","600138","11545739",26121,"PRPF31","606419","Cilia","30967900","PRPF31;PRPF31;ENSG00000105618; RP11; PRP31; SNRNP61; NY-BR-99"
"Retinitis Pigmentosa","RP12","600105","10508521",23418,"CRB1","604210","Vesicles","25613900","CRB1;CRB1;ENSG00000134376; LCA8; RP12; CRB1-A; CRB1-B; CRB1-C"
"Retinitis Pigmentosa","RP13","612712","18779497",145226,"RDH12","608830","Not reported",NA,"RDH12;RDH12;ENSG00000139988; RP53; LCA13; SDR7C2"
"Retinitis Pigmentosa","RP14","600132","22605927",7287,"TULP1","602280","Cilia","16303976","TULP1;TULP1;ENSG00000112041; RP14; LCA15; TUBL1"
"Retinitis Pigmentosa","RP18","601414","11773002",26121,"PRPF31","606419","Cilia","30967900","PRPF31;PRPF31;ENSG00000105618; RP11; PRP31; SNRNP61; NY-BR-99"
"Retinitis Pigmentosa","RP19","601718","9425888",24,"ABCA4","601691","Cytosol","25613900","ABCA4;ABCA4;ENSG00000198691; FFM; RMP; ABCR; RP19; STGD; ABC10; ARMD2; CORD3; STGD1"
"Retinitis Pigmentosa","RP20","613794","9501220",6121,"RPE65","180069","Not reported",NA,"RPE65;RPE65;ENSG00000116745; p63; BCO3; LCA2; RP20; rd12; mRPE65; sRPE65"
"Retinitis Pigmentosa","RP23","300424","22619378",8481,"OFD1","300170","Basal Body, Transition Zone","15466260, 26068394","OFD1;OFD1;ENSG00000046651; RP23; 71-7A; SGBS2; CXorf5; JBTS10"
"Retinitis Pigmentosa","RP25","602772","18836446, 18976725",346007,"EYS","612424","Axoneme","27846257","EYS;EYS;ENSG00000188107; RP25; SPAM; EGFL10; EGFL11; C6orf178; C6orf179; C6orf180; bA74E24.1; dJ22I17.2; bA166P24.2; bA307F22.3; dJ1018A4.2; dJ303F19.1"
"Retinitis Pigmentosa","RP26","608380","14681825",375298,"CERKL","608381","Axoneme","29180514","CERKL;CERKL;ENSG00000188452; RP26"
"Retinitis Pigmentosa","RP27","613750","10192380",4901,"NRL","162080","Nucleoplasm,Cytosol","25613900","NRL;NRL;ENSG00000129535; RP27; D14S46E; NRL-MAF"
"Retinitis Pigmentosa","RP28","606068","20705279, 20705278",84140,"FAM161A","613596","Cilia, Basal Body","22940612","FAM161A;FAM161A;ENSG00000170264; RP28"
"Retinitis Pigmentosa","RP30","607921","11527955",25794,"FSCN2","607643","Cilia","20660251","FSCN2;FSCN2;ENSG00000186765; RFSN; RP30"
"Retinitis Pigmentosa","RP31","609923","17924349",10210,"TOPORS","609507","Basal Body","21159800","TOPORS;TOPORS;ENSG00000197579; LUN; RP31; P53BP3; TP53BPL"
"Retinitis Pigmentosa","RP32","609913","30157172",23155,"CLCC1","617539","Endoplasmic reticulum","25613900","CLCC1;CLCC1;ENSG00000121940; MCLC; RP32"
"Retinitis Pigmentosa","RP33","610359","19878916",23020,"SNRNP200","601664","Cilia","30967900","SNRNP200;SNRNP200;ENSG00000144028; BRR2; RP33; HELIC2; ASCC3L1; U5-200KD"
"Retinitis Pigmentosa","RP35","610282","16199541",64218,"SEMA4A","607292","Not reported",NA,"SEMA4A;SEMA4A;ENSG00000196189; RP35; SEMB; SEMAB; CORD10"
"Retinitis Pigmentosa","RP36","610599","16938425",768206,"PRCD","610598","Not reported",NA,"PRCD;PRCD;ENSG00000214140; RP36"
"Retinitis Pigmentosa","RP37","611131","17564971, 18294254",10002,"NR2E3","604485","Not reported",NA,"NR2E3;NR2E3;ENSG00000278570; PNR; RNR; rd7; ESCS; RP37"
"Retinitis Pigmentosa","RP38","613862","11062461, 22180149",10461,"MERTK","604705","Endoplasmic reticulum,Plasma membrane,Midbody,Cytosol","25613900","MERTK;MERTK;ENSG00000153208; MER; RP38; c-Eyk; c-mer; Tyro12"
"Retinitis Pigmentosa","RP39","613809","10775529, 17296898",7399,"USH2A","608400","Basal Body","17906286","USH2A;USH2A;ENSG00000042781; US2; RP39; USH2; dJ1111A8.1"
"Retinitis Pigmentosa","RP40","613801","8394174, 18854872",5158,"PDE6B","180072","Cytosol","25613900","PDE6B;PDE6B;ENSG00000133256; rd1; PDEB; RP40; CSNB3; CSNBAD2; GMP-PDEbeta"
"Retinitis Pigmentosa","RP41","612095","10587575",8842,"PROM1","604365","Not reported",NA,"PROM1;PROM1;ENSG00000007062; RP41; AC133; CD133; MCDR2; STGD4; CORD12; PROML1; MSTP061"
"Retinitis Pigmentosa","RP42","612943","19520207, 22084217",55975,"KLHL7","611119","Nucleoplasm,Plasma membrane,Cytosol","25613900","KLHL7;KLHL7;ENSG00000122550; CISS3; KLHL6; SBBI26; PERCHING"
"Retinitis Pigmentosa","RP43","613810","18849587, 21039428",5145,"PDE6A","180071","Not reported",NA,"PDE6A;PDE6A;ENSG00000132915; PDEA; RP43; CGPR-A"
"Retinitis Pigmentosa","RP44","613769","10581022, 21067480",5995,"RGR","600342","Vesicles,Plasma membrane,Cytosol","25613900","RGR;RGR;ENSG00000148604; RP44"
"Retinitis Pigmentosa","RP45","613767","11379879",1258,"CNGB1","600724","Vesicles,Cytosol","25613900","CNGB1;CNGB1;ENSG00000070729; CNG4; GAR1; GARP; RP45; CNCG2; CNCG4; GARP2; RCNC2; RCNCb; CNCG3L; CNGB1B; RCNCbeta"
"Retinitis Pigmentosa","RP46","612572","31736247",3420,"IDH3B","604526","Mitochondria","25613900","IDH3B;IDH3B;ENSG00000101365; RP46"
"Retinitis Pigmentosa","RP47","613758","9565049",6295,"SAG","181031","Not reported",NA,"SAG;SAG;ENSG00000130561; RP47; S-AG"
"Retinitis Pigmentosa","RP48","613827","15452722",2979,"GUCA1B","602275","Not reported",NA,"GUCA1B;GUCA1B;ENSG00000112599; RP48; GCAP2; GUCA2; GCAP 2"
"Retinitis Pigmentosa","RP49","613756","7479749",1259,"CNGA1","123825","Nucleoplasm,Vesicles,Plasma membrane","25613900","CNGA1;CNGA1;ENSG00000198515; CNCG; CNG1; RP49; CNCG1; CNG-1; RCNC1; RCNCa; RCNCalpha"
"Retinitis Pigmentosa","RP50","613194","19853238",7439,"BEST1","607854","Not reported",NA,"BEST1;BEST1;ENSG00000167995; ARB; BMD; BEST; RP50; VMD2; TU15B; Best1V1Delta2"
"Retinitis Pigmentosa","RP51","613464","26195043",123016,"TTC8","608132","Basal Body","14520415","TTC8;TTC8;ENSG00000165533; BBS8; RP51"
"Retinitis Pigmentosa","RP54","613428","20398884",388939,"PCARE","613425","Cilia","20398886, 32312818","PCARE;PCARE;ENSG00000179270; RP54; C2orf71"
"Retinitis Pigmentosa","RP55","613575","19956407, 31736247",84100,"ARL6","608845","Basal Body, Transition Zone","15314642","ARL6;ARL6;ENSG00000113966; BBS3; RP55"
"Retinitis Pigmentosa","RP56","613581","20673862",50939,"IMPG2","607056","Not reported",NA,"IMPG2;IMPG2;ENSG00000081148; RP56; VMD5; IPM200; SPACRCAN"
"Retinitis Pigmentosa","RP57","613582","20655036",5148,"PDE6G","180073","Vesicles","25613900","PDE6G;PDE6G;ENSG00000185527; PDEG; RP57"
"Retinitis Pigmentosa","RP58","613617","20797688",130557,"ZNF513","613598","Not reported",NA,"ZNF513;ZNF513;ENSG00000163795; RP58; Zfp513; HMFT0656"
"Retinitis Pigmentosa","RP59","613861","21295282, 10.1016/j.ajhg.2011.01.001",79947,"DHDDS","608172","Plasma membrane","25613900","DHDDS;DHDDS;ENSG00000117682; DS; CIT; CPT; HDS; RP59; hCIT; DEDSM"
"Retinitis Pigmentosa","RP60","613983","21549338",24148,"PRPF6","613979","Basal Body, Transition Zone","26167768","PRPF6;PRPF6;ENSG00000101161; TOM; ANT1; Prp6; RP60; ANT-1; hPrp6; U5-102K; C20orf14; SNRNP102"
"Retinitis Pigmentosa","RP61","614180","21310491",7401,"CLRN1","606397","Cilia","19539019","CLRN1;CLRN1;ENSG00000163646; RP61; USH3; USH3A"
"Retinitis Pigmentosa","RP62","614181","21835304, 21825139",4117,"MAK","154235","Cilia, Axoneme","21148103","MAK;MAK;ENSG00000111837; RP62"
"Retinitis Pigmentosa","RP64","614500","22177090, 25802487",157657,"C8orf37","614477","Cilia","22177090","CFAP418;C8orf37;ENSG00000156172; RP64; BBS21; MOT25; CORD16; FAP418; C8orf37; smalltalk"
"Retinitis Pigmentosa","RP65","613660","20087419",92211,"CDHR1","609502","Cilia","33330480","CDHR1;CDHR1;ENSG00000148600; RP65; PRCAD; CORD15; PCDH21"
"Retinitis Pigmentosa","RP66","615233","19074801",5949,"RBP3","180290","Not reported",NA,"RBP3;RBP3;ENSG00000265203; IRBP; RBPI; RP66; D10S64; D10S65; D10S66"
"Retinitis Pigmentosa","RP67","615565","24043777",4751,"NEK2","604043","Basal Body","22613497","NEK2;NEK2;ENSG00000117650; NLK1; RP67; NEK2A; HsPK21; PPP1R111"
"Retinitis Pigmentosa","RP68","615725","24670872",57709,"SLC7A14","615720","Nucleoplasm,Vesicles,Plasma membrane,Cytosol","25613900","SLC7A14;SLC7A14;ENSG00000013293; PPP1R142"
"Retinitis Pigmentosa","RP69","615780","24680887",55857,"KIZ","615757","Basal Body","29057815","KIZ;KIZ;ENSG00000088970; RP69; HT013; Kizuna; PLK1S1; C20orf19; NCRNA00153"
"Retinitis Pigmentosa","RP70","615922","24419317",9128,"PRPF4","607795","Cilia","30967900","PRPF4;PRPF4;ENSG00000136875; PRP4; RP70; HPRP4; Prp4p; HPRP4P; SNRNP60"
"Retinitis Pigmentosa","RP71","616394","25168386",26160,"IFT172","607386","Cilia, Axoneme","15137945, 24140113","IFT172;IFT172;ENSG00000138002; SLB; wim; RP71; BBS20; osm-1; NPHP17; SRTD10"
"Retinitis Pigmentosa","RP72","616469","25882705",79797,"ZNF408","616454","Centriolar satellite,Cytosol","25613900","ZNF408;ZNF408;ENSG00000175213; EVR6; RP72"
"Retinitis Pigmentosa","RP73","616544","25859010",138050,"HGSNAT","610453","Not reported",NA,"HGSNAT;HGSNAT;ENSG00000165102; RP73; HGNAT; MPS3C; TMEM76"
"Retinitis Pigmentosa","RP74","616562","25541840",583,"BBS2","606151","Cilia, Basal Body","18299575","BBS2;BBS2;ENSG00000125124; BBS; RP74"
"Retinitis Pigmentosa","RP75","617023","26720455",60509,"AGBL5","615900","Microtubules,Cytokinetic bridge,Cytosol","25613900","AGBL5;AGBL5;ENSG00000084693; CCP5; RP75"
"Retinitis Pigmentosa","RP76","617123","26908613",55624,"POMGNT1","606822","Basal Body","26908613","POMGNT1;POMGNT1;ENSG00000085998; MEB; RP76; GNTI.2; LGMD2O; GnT I.2; LGMDR15; MGAT1.2; gnT-I.2"
"Retinitis Pigmentosa","RP77","617304","27889058",92840,"REEP6","609346","Endoplasmic reticulum","25613900","REEP6;REEP6;ENSG00000115255; RP77; DP1L1; TB2L1; Yip2f; REEP6.1; REEP6.2; C19orf32"
"Retinitis Pigmentosa","RP78","617433","28132693",23370,"ARHGEF18","616432","Basal Body","https://repositories.lib.utexas.edu/handle/2152/63460","ARHGEF18;ARHGEF18;ENSG00000104880; RP78; SA-RhoGEF; p114RhoGEF; P114-RhoGEF"
"Retinitis Pigmentosa","RP79","617460","25316723",3098,"HK1","142600","Mitochondria","25613900","HK1;HK1;ENSG00000156515; HK; HKD; HKI; HXK1; RP79; HMSNR; HK1-ta; HK1-tb; HK1-tc; NEDVIBA; hexokinase"
"Retinitis Pigmentosa","RP80","617781","26216056, 26968735",9742,"IFT140","614620","Transition Zone, Axoneme","23141541","IFT140;IFT140;ENSG00000187535; RP80; MZSDS; SRTD9; WDTC2; gs114; c305C8.4; c380F5.1"
"Retinitis Pigmentosa","RP81","617871","28973684",112752,"IFT43","614068","Basal Body","25243405","IFT43;IFT43;ENSG00000119650; CED3; RP81; SRTD18; C14orf179"
"Retinitis Pigmentosa","RP83","618173","26964041",403,"ARL3","604695","Cilia","30952667","ARL3;ARL3;ENSG00000138175; RP83; ARFL3; JBTS35"
"Retinitis Pigmentosa","RP84","618220","24737827",9785,"DHX38","605584","Nucleoplasm","25613900","DHX38;DHX38;ENSG00000140829; RP84; DDX38; PRP16; PRPF16"
"Retinitis Pigmentosa","RP85","618345","29726989",196,"AHR","600253","Nucleoplasm,Cytosol","25613900","AHR;AHR;ENSG00000106546; RP85; bHLHe76"
"Retinitis Pigmentosa","RP86","618613","30120214",57670,"KIAA1549","613344","Transition Zone","30120214","KIAA1549;KIAA1549;ENSG00000122778; RP86"
"Retinitis Pigmentosa","RP87","618697","21654732",6121,"RPE65","180069","Not reported",NA,"RPE65;RPE65;ENSG00000116745; p63; BCO3; LCA2; RP20; rd12; mRPE65; sRPE65"
"Retinitis Pigmentosa","RP88","618826","23281133, 31833436",94137,"RP1L1","608581","Axoneme, Transition Zone","19657028","RP1L1;RP1L1;ENSG00000183638; OCMD; RP88; DCDC4B"
"Retinitis Pigmentosa","RP89","618955","32386558",9371,"KIF3B","603754","Axoneme","10548469","KIF3B;KIF3B;ENSG00000101350; FLA8; RP89; HH0048; KLP-11"
"Retinitis Pigmentosa","RP90","619007","28412069, 31012789",3419,"IDH3A","601149","Mitochondria","25613900","IDH3A;IDH3A;ENSG00000166411; RP90"
"Retinitis Pigmentosa","RP91","153870","32817297",3617,"IMPG1","602870","Not reported",NA,"IMPG1;IMPG1;ENSG00000112706; RP91; VMD4; GP147; SPACR; IPM150"
"Retinitis Pigmentosa","RP","No MIM Number","32208788",80184,"CEP290","610142","Transition Zone",NA,"CEP290;CEP290;ENSG00000198707; CT87; MKS4; POC3; rd16; BBS14; JBTS5; LCA10; NPHP6; SLSN6; 3H11Ag"
"Retinitis Pigmentosa","RP","No MIM Number","33938610",51134,"CEP83","615847","Cilia","24882706","CEP83;CEP83;ENSG00000173588; CCDC41; NPHP18; NY-REN-58"
"Retinitis Pigmentosa","RP","No MIM Number","33910932",582,"BBS1","209901","Cilia","32759308","BBS1;BBS1;ENSG00000174483; BBS2L2"
"Retinitis Pigmentosa","RP","No MIM Number","35246562",29105,"CFAP20","617906","Cilia, Basal Body","20118210","CFAP20;CFAP20;ENSG00000070761; GTL3; BUG22; EVORF; fSAP23; C16orf80"
"RHYNS  Syndrome","RHYNS","602152","29891882",91147,"TMEM67","609884","Transition Zone","21725307","TMEM67;TMEM67;ENSG00000164953; MKS3; JBTS6; NPHP11; TNEM67; MECKELIN"
"Senior-Løken Syndrome","SLSN1","266900","9856524",4867,"NPHP1","607100","Transition Zone","21565611","NPHP1;NPHP1;ENSG00000144061; NPH1; JBTS4; SLSN1"
"Senior-Løken Syndrome","SLSN4","606996","11920287",261734,"NPHP4","607215","Transition Zone","21565611","NPHP4;NPHP4;ENSG00000131697; POC10; SLSN4"
"Senior-Løken Syndrome","SLSN5","609254","15723066, 21220633",9657,"IQCB1","609237","Transition Zone","15723066","IQCB1;IQCB1;ENSG00000173226; PIQ; NPHP5; SLSN5"
"Senior-Løken Syndrome","SLSN6","610189","16682973",80184,"CEP290","610142","Transition Zone","25859007","CEP290;CEP290;ENSG00000198707; CT87; MKS4; POC3; rd16; BBS14; JBTS5; LCA10; NPHP6; SLSN6; 3H11Ag"
"Senior-Løken Syndrome","SLSN7","613615","20835237",10806,"SDCCAG8","613524","Basal Body, Transition Zone","20835237","SDCCAG8;SDCCAG8;ENSG00000054282; BBS16; CCCAP; SLSN7; NPHP10; hCCCAP; HSPC085; NY-CO-8; CCCAP SLSN7"
"Senior-Løken Syndrome","SLSN8","616307","23683095",57728,"WDR19","608151","Axoneme","22019273","WDR19;WDR19;ENSG00000157796; ATD5; CED4; DYF-2; FAP66; ORF26; Oseg6; PWDMP; SRTD5; IFT144; NPHP13; SPGF72"
"Senior-Løken Syndrome","SLSN9","616629","26487268",26146,"TRAF3IP1","607380","Cilia, Transition Zone","19253336, 26487268","TRAF3IP1;TRAF3IP1;ENSG00000204104; IFT54; MIPT3; SLSN9; FAP116; MIP-T3"
"Senior-Løken Syndrome","SLSN","No MIM Number","22819833",27031,"NPHP3","608002","Cilia, Basal Body","20462968, 22328406","NPHP3;NPHP3;ENSG00000113971; MKS7; NPH3; RHPD; RHPD1; SLSN3; CFAP31"
"Short Stature, Onychodysplasia, Facial Dysmorphism, and Hypotrichosis","SOFT","614813","22840363",25886,"POC1A","614783","Not reported",NA,"POC1A;POC1A;ENSG00000164087; PIX2; SOFT; WDR51A"
"Short-rib Thoracic Dysplasia","SRTD2","611263","17468754",57560,"IFT80","611177","Cilia, Basal Body","15137945, 17468754","IFT80;IFT80;ENSG00000068885; ATD2; SRTD2; WDR56; FAP167"
"Short-rib Thoracic Dysplasia","SRTD3","613091","23456818",79659,"DYNC2H1","603297","Nucleoplasm,Mitochondria,Cytosol","25613900","DYNC2H1;DYNC2H1;ENSG00000187240; ATD3; DHC2; DHC1b; DNCH2; DYH1B; SRTD3; SRPS2B; hdhc11"
"Short-rib Thoracic Dysplasia","SRTD4","613819","25492405",79809,"TTC21B","612014","Cilia","24876116","TTC21B;TTC21B;ENSG00000123607; ATD4; THM1; FAP60; FLA17; SRTD4; IFT139; JBTS11; NPHP12; IFT139B; Nbla10696"
"Short-rib Thoracic Dysplasia","SRTD5","614376","19430947, 22019273",57728,"WDR19","608151","Axoneme","22019273","WDR19;WDR19;ENSG00000157796; ATD5; CED4; DYF-2; FAP66; ORF26; Oseg6; PWDMP; SRTD5; IFT144; NPHP13; SPGF72"
"Short-rib Thoracic Dysplasia","SRTD6","263520","25492405",4750,"NEK1","604588","Basal Body","18387364","NEK1;NEK1;ENSG00000137601; ALS24; SRPS2; SRTD6; SRPS2A; NY-REN-55"
"Short-rib Thoracic Dysplasia","SRTD7","614091","21473986",57539,"WDR35","613602","Transisiton Zone, Basal Body, Axoneme","15137945, 10.1016/j.mod.2009.06.702","WDR35;WDR35;ENSG00000118965; CED2; IFTA1; SRTD7; FAP118; IFT121"
"Short-rib Thoracic Dysplasia","SRTD8","615503","23910462, 25492405",55112,"DYNC2I1","615462","Cilia","23910462","DYNC2I1;DYNC2I1;ENSG00000126870; DIC6; SRPS6; SRTD8; WDR60; FAP163; CFAP163"
